LSOA11CD,LSOA11NM,District
E01028496,Cherwell 018D,Cherwell
E01028487,Cherwell 017A,Cherwell
E01028567,Oxford 017D,Oxford
E01028783,West Oxfordshire 001D,West Oxfordshire
E01028741,Vale of White Horse 002E,Vale of White Horse
E01028462,Cherwell 012D,Cherwell
E01028691,Vale of White Horse 008B,Vale of White Horse
E01028784,West Oxfordshire 007A,West Oxfordshire
E01028725,Vale of White Horse 011E,Vale of White Horse
E01028459,Cherwell 012A,Cherwell
E01028775,West Oxfordshire 014D,West Oxfordshire
E01028431,Cherwell 006B,Cherwell
E01028734,Vale of White Horse 002B,Vale of White Horse
E01028751,Vale of White Horse 003F,Vale of White Horse
E01028732,Vale of White Horse 010C,Vale of White Horse
E01028700,Vale of White Horse 006E,Vale of White Horse
E01028654,South Oxfordshire 017B,South Oxfordshire
E01028516,Oxford 005C,Oxford
E01028800,West Oxfordshire 011D,West Oxfordshire
E01028469,Cherwell 014B,Cherwell
E01028435,Cherwell 004A,Cherwell
E01028806,West Oxfordshire 002D,West Oxfordshire
E01028440,Cherwell 004F,Cherwell
E01028688,Vale of White Horse 005A,Vale of White Horse
E01028546,Oxford 014B,Oxford
E01028726,Vale of White Horse 007A,Vale of White Horse
E01028763,West Oxfordshire 003A,West Oxfordshire
E01028643,South Oxfordshire 018C,South Oxfordshire
E01028686,South Oxfordshire 018F,South Oxfordshire
E01028646,South Oxfordshire 004A,South Oxfordshire
E01028500,Cherwell 016D,Cherwell
E01032942,Cherwell 004H,Cherwell
E01028748,Vale of White Horse 016D,Vale of White Horse
E01028736,Vale of White Horse 007B,Vale of White Horse
E01028438,Cherwell 004D,Cherwell
E01028766,West Oxfordshire 012B,West Oxfordshire
E01028490,Cherwell 017C,Cherwell
E01028602,South Oxfordshire 011C,South Oxfordshire
E01028649,South Oxfordshire 015E,South Oxfordshire
E01028788,West Oxfordshire 006A,West Oxfordshire
E01028572,Oxford 007C,Oxford
E01028814,West Oxfordshire 008E,West Oxfordshire
E01028507,Cherwell 010E,Cherwell
E01028522,Oxford 008B,Oxford
E01028456,Cherwell 013B,Cherwell
E01028698,Vale of White Horse 006D,Vale of White Horse
E01028614,South Oxfordshire 005C,South Oxfordshire
E01028525,Oxford 010C,Oxford
E01028579,Oxford 011A,Oxford
E01028697,Vale of White Horse 006C,Vale of White Horse
E01028514,Oxford 005B,Oxford
E01028796,West Oxfordshire 002B,West Oxfordshire
E01032949,West Oxfordshire 013E,West Oxfordshire
E01028479,Cherwell 001A,Cherwell
E01028673,South Oxfordshire 003D,South Oxfordshire
E01028663,South Oxfordshire 020B,South Oxfordshire
E01028714,Vale of White Horse 010A,Vale of White Horse
E01028750,Vale of White Horse 003E,Vale of White Horse
E01028617,South Oxfordshire 012B,South Oxfordshire
E01028422,Cherwell 008A,Cherwell
E01028816,West Oxfordshire 010C,West Oxfordshire
E01028591,Oxford 002C,Oxford
E01028713,Vale of White Horse 016E,Vale of White Horse
E01028820,West Oxfordshire 009B,West Oxfordshire
E01028556,Oxford 013D,Oxford
E01028559,Oxford 013G,Oxford
E01028544,Oxford 012D,Oxford
E01028825,West Oxfordshire 004F,West Oxfordshire
E01028631,South Oxfordshire 013B,South Oxfordshire
E01028721,Vale of White Horse 011A,Vale of White Horse
E01028744,Vale of White Horse 003D,Vale of White Horse
E01032555,Oxford 002G,Oxford
E01028712,Vale of White Horse 015A,Vale of White Horse
E01028802,West Oxfordshire 015D,West Oxfordshire
E01028633,South Oxfordshire 013D,South Oxfordshire
E01028765,West Oxfordshire 015B,West Oxfordshire
E01028636,South Oxfordshire 014C,South Oxfordshire
E01028595,Oxford 001B,Oxford
E01028463,Cherwell 015A,Cherwell
E01028818,West Oxfordshire 010E,West Oxfordshire
E01028716,Vale of White Horse 009A,Vale of White Horse
E01028739,Vale of White Horse 003B,Vale of White Horse
E01028568,Oxford 018B,Oxford
E01028782,West Oxfordshire 001C,West Oxfordshire
E01028584,Oxford 003C,Oxford
E01032951,West Oxfordshire 013G,West Oxfordshire
E01033282,Oxford 008E,Oxford
E01028506,Cherwell 010D,Cherwell
E01028764,West Oxfordshire 015A,West Oxfordshire
E01028623,South Oxfordshire 010C,South Oxfordshire
E01028678,South Oxfordshire 008A,South Oxfordshire
E01028701,Vale of White Horse 004C,Vale of White Horse
E01028779,West Oxfordshire 005C,West Oxfordshire
E01028529,Oxford 015C,Oxford
E01028759,Vale of White Horse 014D,Vale of White Horse
E01028582,Oxford 011D,Oxford
E01032944,Cherwell 002F,Cherwell
E01028586,Oxford 011E,Oxford
E01028680,South Oxfordshire 008C,South Oxfordshire
E01028611,South Oxfordshire 018A,South Oxfordshire
E01028473,Cherwell 014F,Cherwell
E01028537,Oxford 006D,Oxford
E01028799,West Oxfordshire 005D,West Oxfordshire
E01032950,West Oxfordshire 013F,West Oxfordshire
E01028757,Vale of White Horse 015F,Vale of White Horse
E01028512,Cherwell 019D,Cherwell
E01028508,Cherwell 001C,Cherwell
E01028499,Cherwell 011F,Cherwell
E01028630,South Oxfordshire 013A,South Oxfordshire
E01028808,West Oxfordshire 010B,West Oxfordshire
E01028638,South Oxfordshire 002A,South Oxfordshire
E01028594,Oxford 001A,Oxford
E01028545,Oxford 014A,Oxford
E01028728,Vale of White Horse 015C,Vale of White Horse
E01028489,Cherwell 017B,Cherwell
E01028672,South Oxfordshire 003C,South Oxfordshire
E01028675,South Oxfordshire 012D,South Oxfordshire
E01028447,Cherwell 003C,Cherwell
E01028692,Vale of White Horse 008C,Vale of White Horse
E01028517,Oxford 017A,Oxford
E01028492,Cherwell 018A,Cherwell
E01028598,South Oxfordshire 005A,South Oxfordshire
E01028458,Cherwell 013D,Cherwell
E01028667,South Oxfordshire 001B,South Oxfordshire
E01028434,Cherwell 006E,Cherwell
E01028620,South Oxfordshire 011D,South Oxfordshire
E01028471,Cherwell 014D,Cherwell
E01028521,Oxford 008A,Oxford
E01028722,Vale of White Horse 011B,Vale of White Horse
E01028573,Oxford 007D,Oxford
E01028524,Oxford 010B,Oxford
E01028798,West Oxfordshire 003C,West Oxfordshire
E01028655,South Oxfordshire 017C,South Oxfordshire
E01028616,South Oxfordshire 005E,South Oxfordshire
E01028570,Oxford 018D,Oxford
E01028627,South Oxfordshire 009C,South Oxfordshire
E01028542,Oxford 012B,Oxford
E01028509,Cherwell 001D,Cherwell
E01028587,Oxford 011F,Oxford
E01028791,West Oxfordshire 006D,West Oxfordshire
E01028604,South Oxfordshire 006A,South Oxfordshire
E01028600,South Oxfordshire 007A,South Oxfordshire
E01028468,Cherwell 015D,Cherwell
E01028585,Oxford 003D,Oxford
E01028474,Cherwell 009A,Cherwell
E01028526,Oxford 010D,Oxford
E01028588,Oxford 011G,Oxford
E01028780,West Oxfordshire 001A,West Oxfordshire
E01028597,Oxford 001D,Oxford
E01028695,Vale of White Horse 005C,Vale of White Horse
E01028477,Cherwell 011B,Cherwell
E01028450,Cherwell 005B,Cherwell
E01028662,South Oxfordshire 019D,South Oxfordshire
E01028762,West Oxfordshire 012A,West Oxfordshire
E01028472,Cherwell 014E,Cherwell
E01028558,Oxford 013F,Oxford
E01028809,West Oxfordshire 009A,West Oxfordshire
E01028659,South Oxfordshire 020A,South Oxfordshire
E01028685,South Oxfordshire 018E,South Oxfordshire
E01032953,West Oxfordshire 013H,West Oxfordshire
E01028645,South Oxfordshire 018D,South Oxfordshire
E01028676,South Oxfordshire 012E,South Oxfordshire
E01028475,Cherwell 008C,Cherwell
E01028430,Cherwell 006A,Cherwell
E01033305,Vale of White Horse 006G,Vale of White Horse
E01028718,Vale of White Horse 009C,Vale of White Horse
E01028629,South Oxfordshire 009E,South Oxfordshire
E01028603,South Oxfordshire 007B,South Oxfordshire
E01028576,Oxford 016E,Oxford
E01028781,West Oxfordshire 001B,West Oxfordshire
E01028758,Vale of White Horse 014C,Vale of White Horse
E01028776,West Oxfordshire 003B,West Oxfordshire
E01028727,Vale of White Horse 015B,Vale of White Horse
E01028670,South Oxfordshire 003A,South Oxfordshire
E01028467,Cherwell 013E,Cherwell
E01028632,South Oxfordshire 013C,South Oxfordshire
E01028753,Vale of White Horse 010D,Vale of White Horse
E01028752,Vale of White Horse 003G,Vale of White Horse
E01028740,Vale of White Horse 002D,Vale of White Horse
E01028773,West Oxfordshire 014B,West Oxfordshire
E01028439,Cherwell 004E,Cherwell
E01028575,Oxford 015E,Oxford
E01028615,South Oxfordshire 005D,South Oxfordshire
E01028622,South Oxfordshire 010B,South Oxfordshire
E01028723,Vale of White Horse 011C,Vale of White Horse
E01028538,Oxford 005D,Oxford
E01028778,West Oxfordshire 005B,West Oxfordshire
E01028491,Cherwell 017D,Cherwell
E01028690,Vale of White Horse 008A,Vale of White Horse
E01028747,Vale of White Horse 016C,Vale of White Horse
E01028446,Cherwell 003B,Cherwell
E01028665,South Oxfordshire 020D,South Oxfordshire
E01028451,Cherwell 005C,Cherwell
E01028596,Oxford 001C,Oxford
E01028476,Cherwell 008D,Cherwell
E01028743,Vale of White Horse 003C,Vale of White Horse
E01028702,Vale of White Horse 008D,Vale of White Horse
E01028786,West Oxfordshire 011B,West Oxfordshire
E01028429,Cherwell 007D,Cherwell
E01028497,Cherwell 016B,Cherwell
E01028813,West Oxfordshire 008D,West Oxfordshire
E01028592,Oxford 002D,Oxford
E01028465,Cherwell 015C,Cherwell
E01028551,Oxford 009D,Oxford
E01028486,Cherwell 009C,Cherwell
E01028787,West Oxfordshire 011C,West Oxfordshire
E01028767,West Oxfordshire 012C,West Oxfordshire
E01028426,Cherwell 007A,Cherwell
E01028610,South Oxfordshire 007E,South Oxfordshire
E01028565,Oxford 003A,Oxford
E01028513,Oxford 005A,Oxford
E01028640,South Oxfordshire 002C,South Oxfordshire
E01028683,South Oxfordshire 002D,South Oxfordshire
E01028634,South Oxfordshire 014A,South Oxfordshire
E01028495,Cherwell 018C,Cherwell
E01028560,Oxford 004A,Oxford
E01028460,Cherwell 012B,Cherwell
E01028553,Oxford 016B,Oxford
E01028452,Cherwell 005D,Cherwell
E01028745,Vale of White Horse 016A,Vale of White Horse
E01028547,Oxford 014C,Oxford
E01028574,Oxford 007E,Oxford
E01032954,West Oxfordshire 004G,West Oxfordshire
E01028789,West Oxfordshire 006B,West Oxfordshire
E01028530,Oxford 015D,Oxford
E01028684,South Oxfordshire 004E,South Oxfordshire
E01028485,Cherwell 009B,Cherwell
E01028706,Vale of White Horse 004E,Vale of White Horse
E01028498,Cherwell 016C,Cherwell
E01028731,Vale of White Horse 010B,Vale of White Horse
E01028660,South Oxfordshire 019B,South Oxfordshire
E01028571,Oxford 007B,Oxford
E01028797,West Oxfordshire 002C,West Oxfordshire
E01028689,Vale of White Horse 005B,Vale of White Horse
E01028535,Oxford 006B,Oxford
E01028478,Cherwell 011C,Cherwell
E01028666,South Oxfordshire 001A,South Oxfordshire
E01028823,West Oxfordshire 004D,West Oxfordshire
E01028746,Vale of White Horse 016B,Vale of White Horse
E01028539,Oxford 006E,Oxford
E01028821,West Oxfordshire 009C,West Oxfordshire
E01028520,Oxford 018A,Oxford
E01028563,Oxford 004D,Oxford
E01028445,Cherwell 003A,Cherwell
E01028466,Cherwell 014A,Cherwell
E01028804,West Oxfordshire 004B,West Oxfordshire
E01028625,South Oxfordshire 009A,South Oxfordshire
E01028652,South Oxfordshire 016C,South Oxfordshire
E01028810,West Oxfordshire 008A,West Oxfordshire
E01028609,South Oxfordshire 007D,South Oxfordshire
E01028606,South Oxfordshire 007C,South Oxfordshire
E01028577,Oxford 016F,Oxford
E01028528,Oxford 015B,Oxford
E01028540,Oxford 006F,Oxford
E01028605,South Oxfordshire 006B,South Oxfordshire
E01028454,Cherwell 005F,Cherwell
E01028641,South Oxfordshire 006D,South Oxfordshire
E01028650,South Oxfordshire 016A,South Oxfordshire
E01028681,South Oxfordshire 004C,South Oxfordshire
E01028710,Vale of White Horse 001C,Vale of White Horse
E01028503,Cherwell 009D,Cherwell
E01028536,Oxford 006C,Oxford
E01033306,Vale of White Horse 006H,Vale of White Horse
E01028639,South Oxfordshire 002B,South Oxfordshire
E01028647,South Oxfordshire 004B,South Oxfordshire
E01028785,West Oxfordshire 011A,West Oxfordshire
E01028578,Oxford 015F,Oxford
E01032947,West Oxfordshire 008G,West Oxfordshire
E01028483,Cherwell 011D,Cherwell
E01028733,Vale of White Horse 002A,Vale of White Horse
E01028554,Oxford 016C,Oxford
E01028441,Cherwell 002A,Cherwell
E01028541,Oxford 012A,Oxford
E01028424,Cherwell 016A,Cherwell
E01028642,South Oxfordshire 018B,South Oxfordshire
E01028807,West Oxfordshire 010A,West Oxfordshire
E01028711,Vale of White Horse 001D,Vale of White Horse
E01028481,Cherwell 010A,Cherwell
E01028455,Cherwell 013A,Cherwell
E01032948,West Oxfordshire 008H,West Oxfordshire
E01028494,Cherwell 017E,Cherwell
E01028505,Cherwell 010C,Cherwell
E01028613,South Oxfordshire 005B,South Oxfordshire
E01028730,Vale of White Horse 015E,Vale of White Horse
E01028674,South Oxfordshire 012C,South Oxfordshire
E01028661,South Oxfordshire 019C,South Oxfordshire
E01028708,Vale of White Horse 001A,Vale of White Horse
E01028624,South Oxfordshire 010D,South Oxfordshire
E01028626,South Oxfordshire 009B,South Oxfordshire
E01028464,Cherwell 015B,Cherwell
E01032943,Cherwell 002E,Cherwell
E01028534,Oxford 006A,Oxford
E01028724,Vale of White Horse 011D,Vale of White Horse
E01028448,Cherwell 003D,Cherwell
E01028635,South Oxfordshire 014B,South Oxfordshire
E01028756,Vale of White Horse 014B,Vale of White Horse
E01028621,South Oxfordshire 010A,South Oxfordshire
E01028569,Oxford 018C,Oxford
E01028518,Oxford 017B,Oxford
E01028704,Vale of White Horse 008E,Vale of White Horse
E01028628,South Oxfordshire 009D,South Oxfordshire
E01028738,Vale of White Horse 003A,Vale of White Horse
E01028790,West Oxfordshire 006C,West Oxfordshire
E01028637,South Oxfordshire 014D,South Oxfordshire
E01028461,Cherwell 012C,Cherwell
E01028423,Cherwell 008B,Cherwell
E01028443,Cherwell 002C,Cherwell
E01028511,Cherwell 019C,Cherwell
E01028656,South Oxfordshire 017D,South Oxfordshire
E01028557,Oxford 013E,Oxford
E01028729,Vale of White Horse 015D,Vale of White Horse
E01028470,Cherwell 014C,Cherwell
E01028648,South Oxfordshire 015D,South Oxfordshire
E01028705,Vale of White Horse 004D,Vale of White Horse
E01028815,West Oxfordshire 008F,West Oxfordshire
E01028760,Vale of White Horse 014E,Vale of White Horse
E01028532,Oxford 013B,Oxford
E01028548,Oxford 009A,Oxford
E01028771,West Oxfordshire 014A,West Oxfordshire
E01028432,Cherwell 006C,Cherwell
E01028428,Cherwell 007C,Cherwell
E01028749,Vale of White Horse 009E,Vale of White Horse
E01028601,South Oxfordshire 011B,South Oxfordshire
E01028653,South Oxfordshire 017A,South Oxfordshire
E01028527,Oxford 015A,Oxford
E01028482,Cherwell 010B,Cherwell
E01028777,West Oxfordshire 005A,West Oxfordshire
E01028755,Vale of White Horse 014A,Vale of White Horse
E01028811,West Oxfordshire 008B,West Oxfordshire
E01028707,Vale of White Horse 004F,Vale of White Horse
E01028549,Oxford 009B,Oxford
E01028437,Cherwell 004C,Cherwell
E01028693,Vale of White Horse 004A,Vale of White Horse
E01028664,South Oxfordshire 020C,South Oxfordshire
E01028531,Oxford 013A,Oxford
